,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,summary,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,gname,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,nkill,nwound,property,propextent,propextent_txt,propvalue,scite1,scite2,dbsource,INT_LOG,INT_ANY,related
170301,201612300015,2016,12,30,,0,,92,India,6,South Asia,Odisha,Malkangiri,18.343586,81.88252800000001,"12/30/2016: Assailants abducted Mahadeb Sisa, a Panchayati Raj Institution (PRI) member in Malkangiri, Odisha, India. Sisa was injured and released the same day. Maoists claimed responsibility for the incident and accused the victim of being a police informant.",0,1,0,6,Hostage Taking (Kidnapping),2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Panchayati Raj Institution (PRI),Member: Mahadeb Sisa,92.0,Maoists,5,Firearms,5.0,Unknown Gun Type,0.0,1.0,0,,,,"""Tribal Panchayat Samiti Member Thrashed By Maoists in Odisha,"" Outlook India, December 30, 2016.","""Maoists beat up Panchayati Raj member for cooperating with State government in Odisha,"" New Indian Express, December 30, 2016.",START Primary Collection,-9,-9,
170302,201612300016,2016,12,30,,0,,229,Democratic Republic of the Congo,11,Sub-Saharan Africa,North Kivu,Bukavu,-2.502512,28.866666,"12/30/2016: Gunmen attacked a military camp in Bukavu, North Kivu, Democratic Republic of the Congo. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mayi Mayi.",0,0,0,2,Armed Assault,4,Military,27.0,Military Barracks/Base/Headquarters/Checkpost,Armed Forces of the Democratic Republic of the Congo (FARDC),Camp,229.0,Mayi Mayi,5,Firearms,5.0,Unknown Gun Type,0.0,0.0,0,,,,"""DRC: Fighting Reportedly Occur Between Armed Forces, Mai Mai Militia in North Kivu,"" BBC World Service, December 30, 2016.",,START Primary Collection,0,0,
170303,201612300017,2016,12,30,,0,,92,India,6,South Asia,Karnataka,Raichur district,16.201036,77.34904300000001,"12/30/2016: Security forces discovered and defused two explosive devices on a bus in Raichur, Karnataka, India. No group claimed responsibility for the incident.",0,0,0,3,Bombing/Explosion,19,Transportation,99.0,Bus (excluding tourists),Karnataka Road Transport Corporation,Bus,92.0,Unknown,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,0.0,0.0,0,,,,"""Special police teamsfan out in searchof clues,"" The Hindu, January 1, 2017.","""Explosives found in bus near Raichur,"" The Hindu, December 31, 2016.",START Primary Collection,-9,-9,
170304,201612300019,2016,12,30,,0,,147,Nigeria,11,Sub-Saharan Africa,Borno,Rann,12.270081,14.463595999999999,"12/30/2016: Assailants ambushed military forces in Rann, Borno, Nigeria. At least 15 assailants were killed and four soldiers and an unknown number of assailants were injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",0,1,0,2,Armed Assault,4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Nigerian Armed Forces,Soldiers,147.0,Boko Haram,5,Firearms,5.0,Unknown Gun Type,15.0,4.0,-9,,,,"""Soldiers, Boko Haram in 3-hr shoot-out,"" Nigerian Tribune, December 31, 2016.","""15 feared killed as troops, Boko Haram battle in Borno,"" Vanguard, December 30, 2016.",START Primary Collection,0,0,
170305,201612300020,2016,12,30,,0,,4,Afghanistan,6,South Asia,Logar,Puli Alam,33.999938,69.019532,"12/30/2016: Assailants attacked and killed Qari Zubair, the brother of an Afghan Local Police (ALP) officer, in Puli Alam, Logar, Afghanistan. No group claimed responsibility for the incident.",0,1,0,9,Unknown,3,Police,25.0,Police Security Forces/Officers,Afghan Local Police (ALP),Brother of Officer: Qari Zubai,4.0,Unknown,13,Unknown,,,1.0,0.0,0,,,,"""Afghanistan: Nangarhar, Logar Clashes Result in Deaths of Two Security Forces, Four Rebels,"" Pajhwok Afghan News Online, December 31, 2016.",,START Primary Collection,-9,-9,
170306,201612300021,2016,12,30,2016-12-30 00:00:00,0,,95,Iraq,10,Middle East & North Africa,Al Anbar,Rutbah district,33.038056,40.284444,"12/30/2016: Assailants attacked joint security checkpoints in Rutbah district, Al Anbar, Iraq. Security forces repelled the assault, killing four assailants. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).",0,0,0,9,Unknown,4,Military,36.0,Military Checkpoint,Iraqi Volunteer Forces,Checkpoint,95.0,Islamic State of Iraq and the Levant (ISIL),13,Unknown,,,4.0,0.0,0,,,,"""Iraq: Security Roundup 1900 GMT 31 December 2016,"" Summary, December 29, 2016.",,START Primary Collection,0,1,
170307,201612300022,2016,12,30,2016-12-30 00:00:00,0,,95,Iraq,10,Middle East & North Africa,Nineveh,Mosul,36.34,43.13,"12/30/2016: Assailants attacked Al Falah, Mosul, Nineveh, Iraq. There were no reported casualties resulting from the assault. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).",0,0,0,9,Unknown,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,al-Falah Neighborhood,Neighborhood,95.0,Islamic State of Iraq and the Levant (ISIL),13,Unknown,,,0.0,0.0,0,,,,"""Army forces repel Islamic State?s attack near Mosul,"" Iraqi News, December 30, 2016.",,START Primary Collection,0,1,
170308,201612300023,2016,12,30,2016-12-30 00:00:00,0,,95,Iraq,10,Middle East & North Africa,Nineveh,Mosul,36.388713,43.167431,"12/30/2016: Assailants attacked Al-Sukar, Mosul, Nineveh, Iraq. There were no reported casualties resulting from the assault. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).",0,0,0,9,Unknown,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Sukar Neighborhood,Neighborhood,95.0,Islamic State of Iraq and the Levant (ISIL),13,Unknown,,,0.0,0.0,0,,,,"""Army forces repel Islamic State?s attack near Mosul,"" Iraqi News, December 30, 2016.","""Terrorism: Transcript of ISIL's Al-Bayan News Bulletin for 31 December,"" Twitter, December 31, 2016.",START Primary Collection,0,1,
170309,201612300024,2016,12,30,,1,,147,Nigeria,11,Sub-Saharan Africa,Niger,Dan Mayan,10.241977,6.2523290000000005,"12/30/2016: Assailants raided Dan Mayans community in Rafi district, Niger state, Nigeria. This was one of four coordinated attacks in two communities in Rafi over two days. An unknown number of people were abducted in the second two raids, while four people were killed and an unknown number of women were sexually assaulted across all four raids. One person escaped, while the whereabouts of the remaining hostages are unknown. No group claimed responsibility for the incidents; however, sources suspected that Boko Haram was involved.",1,1,0,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Dan Mayans Community,Community,147.0,Boko Haram,5,Firearms,2.0,Automatic Weapon,1.0,,1,3.0,Minor (likely < $1 million),-99.0,"""Marauders invade Niger communities, kill, rape, rustle 250 cattle,"" Daily Sun, January 2, 2017.","""Suspected Boko Haram bandits kill 4, kidnap 30, stole 250 cattles in Niger state,"" Naij.com, January 2, 2017.",START Primary Collection,0,0,"201612290040, 201612290041, 201612300024, 201612300025"
170310,201612300025,2016,12,30,,1,,147,Nigeria,11,Sub-Saharan Africa,Niger,Dogongona,10.241977,6.2523290000000005,"12/30/2016: Assailants raided Dogongona community in Rafi district, Niger state, Nigeria. This was one of four coordinated attacks in two communities in Rafi over two days. n unknown number of people were abducted in the second two raids, while four people were killed and an unknown number of women were sexually assaulted across all four raids. One person escaped, while the whereabouts of the remaining hostages are unknown. No group claimed responsibility for the incidents; however, sources suspected that Boko Haram was involved.",1,1,0,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Dogongona Community,Community,147.0,Boko Haram,5,Firearms,2.0,Automatic Weapon,1.0,,1,3.0,Minor (likely < $1 million),-99.0,"""Marauders invade Niger communities, kill, rape, rustle 250 cattle,"" Daily Sun, January 2, 2017.","""Suspected Boko Haram bandits kill 4, kidnap 30, stole 250 cattles in Niger state,"" Naij.com, January 2, 2017.",START Primary Collection,0,0,"201612290040, 201612290041, 201612300024, 201612300025"
170311,201612300039,2016,12,30,,0,,160,Philippines,5,Southeast Asia,Maguindanao,Datu Saudi Ampatuan,6.951292,124.447787,"12/30/2016: Security forces discovered and defused an explosive device along Cotabato-Isulan highway in Datu Saudi Ampatuan, Maguindanao, Philippines. No group claimed responsibility for the incident.",0,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,Unknown,160.0,Unknown,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,0.0,0.0,0,,,,"""Asia: US Army ASD Philippine Terrorist Media Weekly Wrap-up 25 - 31 December 2016,"" Summary, January 4, 2017.",,START Primary Collection,-9,-9,
170312,201612310001,2016,12,31,2016-12-31 00:00:00,0,,4,Afghanistan,6,South Asia,Sari Pul,Sayyad district,36.062742,65.83499,"12/31/2016: Assailants attacked Sayad district in Sar-e Pul, Afghanistan. At least seven assailants and two security members were killed and 12 assailants were injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban.",0,1,0,2,Armed Assault,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Sayad District,District,4.0,Taliban,5,Firearms,5.0,Unknown Gun Type,9.0,12.0,-9,,,,"""Highlights: Pakistan Pashto Press 1 January December 2017,"" Summary, January 1, 2017.","""Media Highlights on Afghanistan 31 December 2016,"" Summary, December 31, 2016.",START Primary Collection,0,0,
170313,201612310003,2016,12,31,,0,,92,India,6,South Asia,Jammu and Kashmir,Chowgul,34.409556,74.313288,"12/31/2016: Gunmen opened fire on police officers in Chowgul, Jammu and Kashmir, India. One officer was killed in the attack. No group claimed responsibility for the incident.",0,1,0,2,Armed Assault,3,Police,25.0,Police Security Forces/Officers,Indian Police Service (IPS),Constable: Abdul Karim Sheikh,92.0,Unknown,5,Firearms,5.0,Unknown Gun Type,1.0,0.0,0,,,,"""2016 ENDS ON A VIOLENT NOTE IN KASHMIR,"" Hindustan Times, January 1, 2017.","""Policeman killed in militant attack in north Kashmir,"" UNI (United News of India), December 31, 2016.",START Primary Collection,-9,-9,
170314,201612310004,2016,12,31,,0,,153,Pakistan,6,South Asia,Balochistan,Lehri,29.182136,68.211034,"12/31/2016: An explosive device detonated near a motorcycle in Lehri, Balochistan, Pakistan. At least four people were injured in the blast. No group claimed responsibility for the attack.",0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,153.0,Unknown,6,Explosives/Bombs/Dynamite,8.0,Land Mine,0.0,4.0,1,3.0,Minor (likely < $1 million),-99.0,"""Highlights: Pakistan Balochistan Press 01 January 2017,"" Summary, January 1, 2017.",,START Primary Collection,-9,-9,
170315,201612310006,2016,12,31,,0,,4,Afghanistan,6,South Asia,Faryab,Chaghatak,35.95771,64.74588299999999,"12/31/2016: Assailants attacked Chaghatak village in Faryab, Afghanistan. This was one of three related attacks in the area on this date. At least 1 police officer was killed and two police officers were injured across the ensuing clashes. In addition, the assailants sustained an unknown number of casualties. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Taliban.",1,1,0,2,Armed Assault,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Chaghatak Village,Village,4.0,Taliban,5,Firearms,5.0,Unknown Gun Type,1.0,,-9,,,,"""Afghan forces foiled Taliban group attack on northern district -TV,"" Ariana TV, January 1, 2017.",,START Primary Collection,0,0,"201612310006, 201612310007, 201612310008"
170316,201612310007,2016,12,31,,0,,4,Afghanistan,6,South Asia,Faryab,Bukhari Qala,35.856925,64.506511,"12/31/2016: Assailants attacked Bukhari Qala village in Almar, Faryab, Afghanistan. This was one of three related attacks in the area on this date. At least 1 police officer was killed and two police officers were injured across the ensuing clashes. In addition, the assailants sustained an unknown number of casualties. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Taliban.",1,1,0,2,Armed Assault,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Bukhari Qala Village,Village,4.0,Taliban,5,Firearms,5.0,Unknown Gun Type,,1.0,-9,,,,"""Afghan forces foiled Taliban group attack on northern district -TV,"" Ariana TV, January 1, 2017.",,START Primary Collection,0,0,"201612310006, 201612310007, 201612310008"
170317,201612310008,2016,12,31,,0,,4,Afghanistan,6,South Asia,Faryab,Band-e Abgardan,35.842058,64.539948,"12/31/2016: Assailants attacked Band-e Abgardan village in Almar, Faryab, Afghanistan. This was one of three related attacks in the area on this date. At least 1 police officer was killed and two police officers were injured across the ensuing clashes. In addition, the assailants sustained an unknown number of casualties. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Taliban.",1,1,0,2,Armed Assault,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Band-e Abgardan Village,Village,4.0,Taliban,5,Firearms,5.0,Unknown Gun Type,,1.0,-9,,,,"""Afghan forces foiled Taliban group attack on northern district -TV,"" Ariana TV, January 1, 2017.",,START Primary Collection,0,0,"201612310006, 201612310007, 201612310008"
170318,201612310009,2016,12,31,,0,,60,Egypt,10,Middle East & North Africa,North Sinai,Arish,31.132296999999998,33.80268,"12/31/2016: An explosive device detonated targeting a police vehicle in Arish, North Sinai, Egypt. At least two police officers were killed and one officer was injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Sinai Province of the Islamic State.",0,1,0,3,Bombing/Explosion,3,Police,23.0,Police Patrol (including vehicles and convoys),Central Security Forces (CSF),Vehicle,60.0,Sinai Province of the Islamic State,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,2.0,1.0,1,4.0,Unknown,-99.0,"""Police officer, conscript killed in IED attack near Al-Arish,"" Daily News Egypt, December 31, 2016.","""Sinai explosion kills officer and soldier,"" San Francisco Chronicle, December 31, 2016.",START Primary Collection,0,0,
170319,201612310010,2016,12,31,,0,,160,Philippines,5,Southeast Asia,North Cotabato,Nabalawag,7.059925999999999,124.509575,"12/31/2016: Assailants opened fire on Philippine Army (PA) soldiers in Nabalawag, North Cotabato, Philippines. The wife of a soldier was wounded in the assault. No group claimed responsibility; however, sources attributed the attack to the Bangsamoro Islamic Freedom Movement (BIFM).",0,1,0,2,Armed Assault,4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Philippine Army (PA),34th Infantry Battalion Soldiers,160.0,Bangsamoro Islamic Freedom Movement (BIFM),5,Firearms,2.0,Automatic Weapon,0.0,1.0,0,,,,"""AFP braces for more BIFF attacks in ARMM,"" Manila Times, January 4, 2017.","""Philippines: BIFF attacks soldiers in North Cotabato, Maguindanao on New Year's Eve,"" ABS CBN News Online, January 1, 2017.",START Primary Collection,0,0,
170320,201612310011,2016,12,31,,0,,160,Philippines,5,Southeast Asia,Maguindanao,Elian,6.957127000000001,124.47440800000001,"12/31/2016: Assailants opened fire on Philippine Army (PA) soldiers in Elian, Datu Saudi-Ampatuan district, Maguindanao, Philippines. There were no reported casualties in the assault. No group claimed responsibility; however, sources attributed the attack to the Bangsamoro Islamic Freedom Movement (BIFM).",0,0,0,2,Armed Assault,4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Philippine Army (PA),21st Mechanized Company Soldiers,160.0,Bangsamoro Islamic Freedom Movement (BIFM),5,Firearms,5.0,Unknown Gun Type,0.0,0.0,0,,,,"""Philippines: BIFF attacks soldiers in North Cotabato, Maguindanao on New Year's Eve,"" ABS CBN News Online, January 1, 2017.",,START Primary Collection,0,0,
170321,201612310012,2016,12,31,,0,,19,Bangladesh,6,South Asia,Rangpur,Sundarganj,25.564362,89.51909,"12/31/2016: Assailants shot and killed Manzurul Islam Liton, an Awami League Member of Parliament, in Sundarganj, Rangpur, Bangladesh. No group claimed responsibility for the incident; however, sources attributed the attack to Jamaat-E-Islami (Bangladesh).",0,1,0,1,Assassination,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Jatiyo Sangshad,Member of Parliament: Manzurul Islam Liton,19.0,Jamaat-E-Islami (Bangladesh),5,Firearms,3.0,Handgun,1.0,0.0,0,,,,"""Ruling party lawmaker shot dead in Bangladesh,"" Press Trust of India, December 31, 2016.","""Liton murder: PM blames Jamaat,"" Bangladesh Daily Star, January 4, 2017.",START Primary Collection,0,0,
170322,201612310013,2016,12,30,,0,,153,Pakistan,6,South Asia,Punjab,Sahiwal,30.661181,73.108576,"12/30/2016: Assailants opened fire on the vehicle of Asif Mirza in Sahiwal, Punjab, Pakistan. At least two people, including Mirza, a Counter Terrorism Department (CTD) official, and his driver, were wounded in the assault. No group claimed responsibility for the attack.",0,1,0,2,Armed Assault,3,Police,23.0,Police Patrol (including vehicles and convoys),Counter Terrorism Department (CTD),Vehicle of Official: Asif Mirza,153.0,Unknown,5,Firearms,5.0,Unknown Gun Type,0.0,2.0,1,3.0,Minor (likely < $1 million),-99.0,"""Suicide attack foiled in Rahim Yar Khan; two CTD men injured,"" DAWN Group, December 31, 2016.",,START Primary Collection,-9,-9,
170323,201612310014,2016,12,31,,0,,173,Saudi Arabia,10,Middle East & North Africa,Jazan,Unknown,16.889359,42.570567,"12/31/2016: Assailants launched projectiles and opened fire on a military post in Jazan region, Saudi Arabia. One soldier was killed in the attack. Huthi extremists claimed responsibility for the incident.",0,1,0,2,Armed Assault,4,Military,27.0,Military Barracks/Base/Headquarters/Checkpost,Royal Saudi Land Forces,Post,173.0,Houthi extremists (Ansar Allah),6,Explosives/Bombs/Dynamite,11.0,"Projectile (rockets, mortars, RPGs, etc.)",1.0,0.0,-9,,,,"""Rebel fire from Yemen kills Saudi soldier,"" The News International, January 2, 2017.","""Saudi Soldier killed due to rebel fire from Yemen,"" MENA English (Middle East and North Africa Financial Network), January 2, 2017.",START Primary Collection,1,1,
170324,201612310015,2016,12,31,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.533342,69.078022,"12/31/2016: An explosive device attached to a civilian vehicle detonated in Kabul, Afghanistan. Two people were killed and four others were injured in the blast. No group claimed responsibility for the incident.",0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,73.0,Vehicles/Transportation,Not Applicable,Vehicle,4.0,Unknown,6,Explosives/Bombs/Dynamite,29.0,Sticky Bomb,2.0,4.0,1,3.0,Minor (likely < $1 million),-99.0,"""Wounded bride: All my dreams shattered,"" Pajhwok Afghan News English, December 31, 2016.","""Highlights: Pakistan Pashto Press 1 January December 2017,"" Summary, January 1, 2017.",START Primary Collection,-9,-9,
170325,201612310016,2016,12,31,,0,,34,Burundi,11,Sub-Saharan Africa,Bubanza,Muzinda,-3.253245,29.430265999999996,"12/31/2016: An assailant threw a grenade at a church in Muzinda, Bubanza, Burundi. Eight people were injured in the blast. No group claimed responsibility for the incident.",0,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,86.0,Place of Worship,Unknown,Church,34.0,Unknown,6,Explosives/Bombs/Dynamite,7.0,Grenade,0.0,8.0,1,3.0,Minor (likely < $1 million),-99.0,"""Grenade explosion injures 8 in church in Burundi's Bubanza province,"" Xinhua General News Service, January 1, 2017.",,START Primary Collection,-9,-9,
170326,201612310017,2016,12,31,,0,,153,Pakistan,6,South Asia,Khyber Pakhtunkhwa,Peshawar,34.014975,71.58049,"12/31/2016: Assailants opened fire on the vehicle of Rahim Barakzai in Peshawar, Pakistan. Barakzai, an Awami National Party (ANP) leader, was killed and his companion was injured in the assault. No group claimed responsibility for the attack.",0,1,0,1,Assassination,14,Private Citizens & Property,84.0,Political Party Member/Rally,Awami National Party (ANP),Vehicle of Leader: Rahim Barakzai,153.0,Unknown,5,Firearms,5.0,Unknown Gun Type,1.0,1.0,1,3.0,Minor (likely < $1 million),-99.0,"""ANP leader Rahim Barakazi killed in Peshawar,"" Pakistan Today, December 31, 2016.",,START Primary Collection,-9,-9,
170327,201612310019,2016,12,31,,0,,92,India,6,South Asia,Manipur,Imphal,24.806454000000002,93.92081,"12/31/2016: An explosive device was discovered and defused near the house of a former bank official in Imphal, Manipur, India. No group claimed responsibility for the incident.",0,0,0,3,Bombing/Explosion,1,Business,3.0,Bank/Commerce,Unknown,Residence of Former Bank Official,92.0,Unknown,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,0.0,0.0,0,,,,"""Bomb found at Imphal, hospital closed down,"" UNI (United News of India), December 31, 2016.","""Bomb found at Imphal, hospital closed down,"" HT Syndication, December 31, 2016.",START Primary Collection,-9,-9,
170328,201612310022,2016,12,31,2016-12-31 00:00:00,0,,4,Afghanistan,6,South Asia,Farah,Bagh Kafi,32.372459,62.12009200000001,"12/31/2016: Assailants shot and injured an Afghan Local Police (ALP) deputy head in Bagh Kafi, Farah, Afghanistan. No group claimed responsibility for the incident.",0,1,0,2,Armed Assault,3,Police,25.0,Police Security Forces/Officers,Afghan Local Police (ALP),Deputy Head: Mohammad Esa,4.0,Unknown,5,Firearms,5.0,Unknown Gun Type,0.0,1.0,0,,,,"""Farah ALP officer wounded in gun attack,"" Pajhwok Afghan News English, December 31, 2016.",,START Primary Collection,-9,-9,
170329,201612310023,2016,12,31,2016-12-31 00:00:00,0,,4,Afghanistan,6,South Asia,Logar,Mohammad Agha district,34.221242,69.078024,"12/31/2016: Assailants kidnapped a soldier in Mohammad Agha, Logar, Afghanistan. The soldier was shot and killed shortly after the abduction. No group claimed responsibility for the incident.",0,1,0,6,Hostage Taking (Kidnapping),4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Afghan National Army (ANA),Soldier,4.0,Unknown,5,Firearms,5.0,Unknown Gun Type,1.0,0.0,0,,,,"""Afghanistan: Nangarhar, Logar Clashes Result in Deaths of Two Security Forces, Four Rebels,"" Pajhwok Afghan News Online, December 31, 2016.",,START Primary Collection,-9,-9,
170330,201612310024,2016,12,31,,0,,147,Nigeria,11,Sub-Saharan Africa,Borno,Maiduguri,11.831097999999999,13.150967000000001,"12/31/2016: Two young female suicide bombers attempted to attack a crowd near a food vendor in Maiduguri, Borno, Nigeria. One assailant detonated, killing herself and injuring another person. The second assailant was lynched by the crowd. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",0,1,1,3,Bombing/Explosion,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,147.0,Boko Haram,6,Explosives/Bombs/Dynamite,13.0,Suicide (carried bodily by human being),2.0,1.0,-9,,,,"""Nigerian girl, 10, used in suicide bomb attack on New Year's Eve; One person seriously injured in attack bearinghallmarks ofBoko Haram,"" The Independent, January 1, 2017.","""Suicide bomber, aged 10, blows herself up in attack at Maiduguri food market,"" International Business Times UK, January 1, 2017.",START Primary Collection,0,0,
170331,201612310025,2016,12,31,2016-12-31 00:00:00,0,,95,Iraq,10,Middle East & North Africa,Saladin,Mutaybijah,34.345164000000004,44.467121,"12/31/2016: Assailants attacked a volunteer forces checkpoint in Mutaybijah, Saladin, Iraq. At least three volunteers were killed and two volunteers were injured in the assault. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).",0,1,0,9,Unknown,4,Military,36.0,Military Checkpoint,Iraqi Volunteer Forces,Checkpoint,95.0,Islamic State of Iraq and the Levant (ISIL),13,Unknown,,,3.0,2.0,0,,,,"""Iraq: Security Roundup 1900 GMT 31 December 2016,"" Summary, December 29, 2016.",,START Primary Collection,0,1,
170332,201612310026,2016,12,31,,0,,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.381146,44.34494,"12/31/2016: Security forces intercepted and killed two suicide bombers driving an explosives-laden vehicle in Kadhimiya neighborhood, Baghdad city, Baghdad governorate, Iraq. No group claimed responsibility for the incident.",0,1,1,3,Bombing/Explosion,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Kadhimiyah District,District,95.0,Unknown,6,Explosives/Bombs/Dynamite,15.0,Vehicle,2.0,0.0,0,,,,"""Double bomb attack hits crowded Baghdad market,"" Al Jazeera, December 31, 2016.","""Dozens Killed In Baghdad Blasts Claimed By Islamic State,"" Radio Free Europe, December 31, 2016.",START Primary Collection,-9,-9,
170333,201612310027,2016,12,31,,0,,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.332813,44.40106,"12/31/2016: A suicide bomber detonated in a market in Sinak area, Baghdad city, Baghdad governorate, Iraq. This was one of two coordinated explosions in the area within a short period of time. At least 28 people were killed and 43 people were injured across both attacks. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incidents.",1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,74.0,Marketplace/Plaza/Square,Al Sinak Market,Market,95.0,Islamic State of Iraq and the Levant (ISIL),6,Explosives/Bombs/Dynamite,13.0,Suicide (carried bodily by human being),15.0,22.0,1,4.0,Unknown,-99.0,"""Double bomb attack hits crowded Baghdad market,"" Al Jazeera, December 31, 2016.","""Update: Baghdad bomb attacks kill 30 at eve of 2017,"" Xinhua General News Service, December 31, 2016.",START Primary Collection,0,1,"201612310027, 201612310028"
170334,201612310028,2016,12,31,,0,,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.332813,44.40106,"12/31/2016: A suicide bomber detonated in a market in Sinak area, Baghdad city, Baghdad governorate, Iraq. This was one of two coordinated explosions in the area within a short period of time. At least 28 people were killed and 43 people were injured across both attacks. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incidents.",1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,74.0,Marketplace/Plaza/Square,Al Sinak Market,Market,95.0,Islamic State of Iraq and the Levant (ISIL),6,Explosives/Bombs/Dynamite,13.0,Suicide (carried bodily by human being),15.0,21.0,1,4.0,Unknown,-99.0,"""Double bomb attack hits crowded Baghdad market,"" Al Jazeera, December 31, 2016.","""Update: Baghdad bomb attacks kill 30 at eve of 2017,"" Xinhua General News Service, December 31, 2016.",START Primary Collection,0,1,"201612310027, 201612310028"
170335,201612310029,2016,12,31,,0,,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.305081,44.488946999999996,"12/31/2016: An explosives-laden vehicle detonated in New Baghdad area, Baghdad city, Baghdad governorate, Iraq. At least four people were killed in the blast. No group claimed responsibility for the incident.",0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,95.0,Unknown,6,Explosives/Bombs/Dynamite,15.0,Vehicle,4.0,0.0,-9,,,,"""Reuters: Baghdad blasts kill 29 as Mosul fighting intensifies,"" Focus Bulgaria, December 31, 2016.","""Update: Baghdad bomb attacks kill 30 at eve of 2017,"" Xinhua General News Service, December 31, 2016.",START Primary Collection,-9,-9,
170336,201612310030,2016,12,31,,0,,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.370243,44.278690999999995,"12/31/2016: Five explosive devices detonated in Shuala area, Baghdad city, Baghdad governorate, Iraq. One person was killed and seven people were injured in the blast. No group claimed responsibility for the incident.",0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,95.0,Unknown,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,1.0,7.0,0,,,,"""Update: Baghdad bomb attacks kill 30 at eve of 2017,"" Xinhua General News Service, December 31, 2016.",,START Primary Collection,-9,-9,
170337,201612310031,2016,12,31,,0,,95,Iraq,10,Middle East & North Africa,Nineveh,Mosul,36.352632,43.190459999999995,"12/31/2016: Security forces intercepted and killed an unknown number of suicide bombers targeting security forces with four explosives-laden vehicles in Tamim, Mosul, Nineveh, Iraq. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).",0,0,1,3,Bombing/Explosion,4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Iraqi Armed Forces,Forces,95.0,Islamic State of Iraq and the Levant (ISIL),6,Explosives/Bombs/Dynamite,15.0,Vehicle,,0.0,0,,,,"""CTS destroys 4 car bombs in eastern Mosul,"" Iraqi News, December 31, 2016.",,START Primary Collection,0,1,
