,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,summary,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,gname,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,nkill,nwound,property,propextent,propextent_txt,propvalue,scite1,scite2,dbsource,INT_LOG,INT_ANY,related
170281,201612290040,2016,12,29,,1,,147,Nigeria,11,Sub-Saharan Africa,Niger,Dan Mayan,10.241957000000001,6.252294999999999,"12/29/2016: Assailants raided Dan Mayans community in Rafi district, Niger state, Nigeria. This was one of four coordinated attacks in two communities in Rafi over two days. At least 30 people were abducted in the first two raids, while four people were killed and an unknown number of women were sexually assaulted across all four raids. One person escaped, while the whereabouts of the remaining hostages are unknown. No group claimed responsibility for the incidents; however, sources suspected that Boko Haram was involved.",1,1,0,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Dan Mayans Community,Community,147.0,Boko Haram,5,Firearms,2.0,Automatic Weapon,1.0,,1,3.0,Minor (likely < $1 million),-99.0,"""Marauders invade Niger communities, kill, rape, rustle 250 cattle,"" Daily Sun, January 2, 2017.","""Suspected Boko Haram bandits kill 4, kidnap 30, stole 250 cattles in Niger state,"" Naij.com, January 2, 2017.",START Primary Collection,0,0,"201612290040, 201612290041, 201612300024, 201612300025"
170282,201612290041,2016,12,29,,1,,147,Nigeria,11,Sub-Saharan Africa,Niger,Dogongona,10.241977,6.2523290000000005,"12/29/2016: Assailants raided Dogongona community in Rafi district, Niger state, Nigeria. This was one of four coordinated attacks in two communities in Rafi over two days. At least 30 people were abducted in the first two raids, while four people were killed and an unknown number of women were sexually assaulted across all four raids. One person escaped, while the whereabouts of the remaining hostages are unknown. No group claimed responsibility for the incidents; however, sources suspected that Boko Haram was involved.",1,1,0,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Dogongona Community,Community,147.0,Boko Haram,5,Firearms,2.0,Automatic Weapon,1.0,,1,3.0,Minor (likely < $1 million),-99.0,"""Marauders invade Niger communities, kill, rape, rustle 250 cattle,"" Daily Sun, January 2, 2017.","""Suspected Boko Haram bandits kill 4, kidnap 30, stole 250 cattles in Niger state,"" Naij.com, January 2, 2017.",START Primary Collection,0,0,"201612290040, 201612290041, 201612300024, 201612300025"
170283,201612290042,2016,12,29,,1,,138,Myanmar,5,Southeast Asia,Rakhine,Kwazone,20.702778,92.62916700000001,"12/29/2016: Assailants abducted Anna Muller, a village head, in Kwazone, Rakhine, Myanmar. The outcome of the abduction is unknown and sources noted that Muller was beaten during the kidnapping. No group claimed responsibility for the incident.",0,1,0,6,Hostage Taking (Kidnapping),2,Government (General),18.0,"Government Personnel (excluding police, military)",Government of Gwasone,Village Head: Anna Muller,138.0,Unknown,9,Melee,23.0,Knife or Other Sharp Object,,1.0,0,,,,"""Village headman beaten and kidnapped in Maungdaw,"" Mizzima News, December 31, 2016.",,START Primary Collection,-9,-9,
170284,201612290043,2016,12,29,,0,,1004,South Sudan,11,Sub-Saharan Africa,Western Bahr el Ghazal,Raga,8.461161,25.680587,"12/29/2016: Assailants opened fire on the convoy of Rizik Zachariah Hassan in Dambara, Western Bahr el Ghazal, South Sudan. Hassan, the governor of Lol state, was not harmed as there were no reported casualties in the assault. No group claimed responsibility for the attack.",0,0,0,1,Assassination,2,Government (General),18.0,"Government Personnel (excluding police, military)",Government of Lol,Convoy of Governor: Rizik Zachariah Hassan,1004.0,Unknown,5,Firearms,5.0,Unknown Gun Type,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,"""S. Sudan governor survives another assassination attempt,"" Sudan Tribune, December 30, 2016.",,START Primary Collection,-9,-9,
170285,201612290046,2016,12,29,2016-12-29 00:00:00,0,,228,Yemen,10,Middle East & North Africa,Marib,Marib,15.460579000000001,45.323333,"12/29/2016: Assailants fired a missile targeting Marib, Yemen. There were no reported casualties as the missile was intercepted by coalition air defense forces. No group claimed responsibility for the incident; however, sources attributed the attack to Huthi extremists.",0,0,0,3,Bombing/Explosion,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Ma'rib City,City,228.0,Houthi extremists (Ansar Allah),6,Explosives/Bombs/Dynamite,11.0,"Projectile (rockets, mortars, RPGs, etc.)",0.0,0.0,0,,,,"""Yemen: Security Roundup 2000 GMT 29 December 2016,"" Summary, December 29, 2016.",,START Primary Collection,0,0,
170286,201612290049,2016,12,29,"December 26-31, 2016",0,,200,Syria,10,Middle East & North Africa,Homs,Palmyra,34.550609,38.268826000000004,"12/00/2016: Between December 26, 2016 and December 31, 2016 assailants detonated explosives targeting an ancient Roman theater in Palmyra, Homs, Syria. No casualties were reported, but the ruins were damaged in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).",0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,81.0,Museum/Cultural Center/Cultural House,Unknown,Ancient Roman Theater,200.0,Islamic State of Iraq and the Levant (ISIL),6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,0.0,0.0,1,4.0,Unknown,-99.0,"""ISIS destroys part of ancient Roman theater in Palmyra,"" Libya Today, January 20, 2017.","""Palmyra's theatre and columns 'demolished by IS militants',"" Middle East Eye, January 20, 2017.",START Primary Collection,0,1,
170287,201612290050,2016,12,29,,0,,92,India,6,South Asia,Maharashtra,Aheri,19.413355,80.00591,"12/29/2016: Assailants attacked civilians in Aheri, Maharashtra, India. This was one of two related attacks in Maharashtra on the same day. Three civilians were killed across the attacks. No group claimed responsibility for the incidents; however, sources attributed the attacks to Maoists.",1,1,0,9,Unknown,14,Private Citizens & Property,68.0,Named Civilian,Not Applicable,"Civilians: Laccha Bande Madavi, Patali Doge Atram, Talwarsha Kunjram",92.0,Maoists,13,Unknown,,,2.0,0.0,0,,,,"""Naxals kill three men in Gadchiroli district of Maharashtra,"" Press Trust of India, December 30, 2016.","""Maharashtra: A Fading Red,"" India Blooms, January 30, 2017.",START Primary Collection,-9,-9,"201612290050, 201612290051"
170288,201612290051,2016,12,29,,0,,92,India,6,South Asia,Maharashtra,Korchi,20.717135,80.470196,"12/29/2016: Assailants attacked civilians in Korchi, Maharashtra, India. This was one of two related attacks in Maharashtra on the same day. Three civilians were killed across the attacks. No group claimed responsibility for the incidents; however, sources attributed the attacks to Maoists.",1,1,0,9,Unknown,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,92.0,Maoists,13,Unknown,,,1.0,0.0,0,,,,"""Naxals kill three men in Gadchiroli district of Maharashtra,"" Press Trust of India, December 30, 2016.","""Maharashtra: A Fading Red,"" India Blooms, January 30, 2017.",START Primary Collection,-9,-9,"201612290050, 201612290051"
170289,201612300001,2016,12,30,,0,,153,Pakistan,6,South Asia,Punjab,Rahim Yar Khan,28.429741999999997,70.27737900000001,"12/30/2016: A suicide bomber detonated near Counter Terrorism Department (CTD) officials in Shafi Town neighborhood, Rahim Yar Khan, Punjab, Pakistan. Aside from the death of the bomber, at least two officials were injured in the blast. The Khorasan Chapter of the Islamic State claimed responsibility for the attack. Sources also suspected that the incident may have been carried out by Lashkar-e-Jhangvi, Tehrik-i-Taliban Pakistan (TTP), Ahle Sunnat Wal Jamaat (ASWJ-Pakistan), and Jundallah.",0,1,1,3,Bombing/Explosion,3,Police,25.0,Police Security Forces/Officers,Counter Terrorism Department (CTD),Officials,153.0,Khorasan Chapter of the Islamic State,6,Explosives/Bombs/Dynamite,13.0,Suicide (carried bodily by human being),1.0,2.0,0,,,,"""Case of Rahim Yar Khan suicide attack registered,"" Dunya News, January 1, 2017.","""Two people injured in blast outside mosque in Rahim Yar Khan,"" DAWN Group, December 30, 2016.",START Primary Collection,0,1,
170290,201612300002,2016,12,30,,0,,153,Pakistan,6,South Asia,Balochistan,Dera Bugti,29.036890999999997,69.150147,"12/30/2016: An explosive device detonated near a water pipeline in Dera Bugti, Balochistan, Pakistan. There were no reported casualties in the blast. No group claimed responsibility for the attack.",0,1,0,3,Bombing/Explosion,9,Food or Water Supply,52.0,Water Supply,Unknown,Water Pipeline,153.0,Unknown,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,0.0,0.0,1,4.0,Unknown,-99.0,"""Terrorists explode water pipeline in Dera Bugti,"" The News International, December 31, 2016.","""Water pipeline blown up in Dera Bugti,"" The Nation Pakistan, December 30, 2016.",START Primary Collection,-9,-9,
