success,Armed Assault,Assassination,Bombing/Explosion,Facility/Infrastructure Attack,Hijacking,Hostage Taking (Barricade Incident),Hostage Taking (Kidnapping),Unarmed Assault,Unknown
0,645,967,2012,113,9,2,55,7,592
1,13778,4307,21035,2512,112,373,3818,140,2489
