suicide,Airports & Aircraft,Business,Educational Institution,Food or Water Supply,Government (Diplomatic),Government (General),Journalists & Media,Maritime,Military,NGO,Other,Police,Private Citizens & Property,Religious Figures/Institutions,Telecommunication,Terrorists/Non-State Militia,Tourists,Transportation,Unknown,Utilities,Violent Political Party
0,208,5559,903,123,376,5018,573,72,10957,193,69,8207,10661,671,431,713,98,1862,794,2642,202
1,16,142,17,1,46,299,7,6,859,6,24,447,390,100,0,106,1,38,104,11,14
